cruise,lter_station,cast,niskin,date,latitude,longitude,depth
EN608,L10,21,20,2018-02-03 23:20:51,39.92387,-70.88616,5.1085244480391365
EN608,L10,21,21,2018-02-03 23:20:58,39.923840000000006,-70.88616,5.341719391678204
EN608,L10,21,22,2018-02-03 23:21:06,39.92382,-70.88616,4.280928331924002
EN608,L10,21,23,2018-02-03 23:21:12,39.92378,-70.88616,5.0509699104074715
EN608,L10,21,24,2018-02-03 23:21:19,39.923759999999994,-70.88616,5.751546456984116
EN608,L11,19,1,2018-02-03 17:57:55,39.76652,-70.88725,497.7050538566359
EN608,L11,19,2,2018-02-03 17:58:03,39.7665,-70.88728,498.11786635188537
EN608,L11,19,3,2018-02-03 18:03:22,39.7656,-70.88762,300.11065978492246
EN608,L11,19,4,2018-02-03 18:03:30,39.76558,-70.88762,300.60413152973734
EN608,L11,19,5,2018-02-03 18:07:26,39.76484,-70.8878,169.36828814625113
EN608,L11,19,6,2018-02-03 18:07:33,39.76482,-70.88781999999999,169.54676508472446
EN608,L11,19,7,2018-02-03 18:10:17,39.764540000000004,-70.88838,99.575869255451
EN608,L11,19,8,2018-02-03 18:10:24,39.764540000000004,-70.8884,99.1632482264232
EN608,L11,19,9,2018-02-03 18:12:45,39.76432,-70.88898,64.65785021411982
EN608,L11,19,10,2018-02-03 18:12:51,39.76429,-70.889,64.92967051365383
EN608,L11,19,11,2018-02-03 18:14:30,39.76402,-70.88918000000001,54.633976681373824
EN608,L11,19,12,2018-02-03 18:14:38,39.76398,-70.8892,54.380000431858775
EN608,L11,19,13,2018-02-03 18:14:45,39.763940000000005,-70.88922,54.331387754429905
EN608,L11,19,14,2018-02-03 18:14:52,39.76392,-70.88922,54.12900015700325
EN608,L11,19,15,2018-02-03 18:17:18,39.76352,-70.8898,24.829300100320193
EN608,L11,19,16,2018-02-03 18:17:26,39.7635,-70.88984,25.260923424672487
EN608,L11,19,17,2018-02-03 18:17:33,39.76348,-70.88985,24.889826644363122
EN608,L11,19,18,2018-02-03 18:20:11,39.7632,-70.88985,4.27305323341531
EN608,L11,19,19,2018-02-03 18:20:18,39.76318,-70.88984,3.7371898644313695
EN608,L11,19,20,2018-02-03 18:20:24,39.76316,-70.88982,3.9912289699163535
EN608,L11,19,21,2018-02-03 18:20:30,39.76316,-70.8898,4.0547386969906745
EN608,L11,19,22,2018-02-03 18:20:37,39.76314,-70.8898,4.1698500270533385
EN608,L11,19,23,2018-02-03 18:20:43,39.76314,-70.88978,3.9564970795820833
